feature,coefficient
avg_price,-0.03766765298429372
avg_rating,0.2875168474327561
compact_share,9.815303774308084
dual_basket_share,-9.509685698085198
oven_style_share,1.9417744851002123
rotisserie_share,-5.674054252708308
window_share,12.880297890723066
brand_cosori,2.5519462707748106
brand_cuisinart,6.422435556102844
brand_dash,0.17665535070123478
brand_gowise usa,3.9389964592576767
brand_instant_pot,4.626259635483616
brand_ninja,5.838705148242753
brand_nuwave,3.544883164333586
brand_oster,3.9280737524043787
brand_ultrean,0.9423988338577309
year_2020,0.11907093654217869
year_2021,0.04190030825487945
year_2022,-0.09886024816305301
year_2023,-0.0033070241419460816
